Grant ID,Grant Number,Publication Title ,Publication Year,Authors ,Journal,Rubric 2 (original),check of Rubric 2 score,NEW Interdiscplinary Rubric (1),Citations,date for cite count,Abstract,Notes
grant.3037340,308486,Forage nutritive quality in the serengeti ecosystem: the roles of fire and herbivory,2007,Anderson et al.,American Naturalist,3,3,3,106,19-Mar-20,"Fire and herbivory are important determinants of nutrient availability in savanna ecosystems. Fire and herbivory effects on the nutritive quality of savanna vegetation can occur directly, independent of changes in the plant community, or indirectly, via effects on the plant community. Indirect effects can be further subdivided into those occurring because of changes in plant species composition or plant abundance (i.e., quality versus quantity). We studied relationships between fire, herbivory, rainfall, soil fertility, and leaf nitrogen (N), phosphorus (P), and sodium (Na) at 30 sites inside and outside of Serengeti National Park. Using structural equation modeling, we asked whether fire and herbivory influences were largely direct or indirect and how their signs and strengths differed within the context of natural savanna processes. Herbivory was associated with enhanced leaf N and P through changes in plant biomass and community composition. Fire was associated with reduced leaf nutrient concentrations through changes in plant community composition. Additionally, fire had direct positive effects on Na and nonlinear direct effects on P that partially mitigated the indirect negative effects. Key mechanisms by which fire reduced plant nutritive quality were through reductions of Na‐rich grasses and increased abundance of Themeda triandra, which had below‐average leaf nutrients.",
grant.3037341,308486,Does species diversity limit productivity in natural grassland communities?,2007,Grace et al. ,Ecology Letters,3,3,3,308,19-Mar-20,"Theoretical analyses and experimental studies of synthesized assemblages indicate that under particular circumstances species diversity can enhance community productivity through niche complementarity. It remains unclear whether this process has important effects in mature natural ecosystems where competitive feedbacks and complex environmental influences affect diversity–productivity relationships. In this study, we evaluated diversity–productivity relationships while statistically controlling for environmental influences in 12 natural grassland ecosystems. Because diversity–productivity relationships are conspicuously nonlinear, we developed a nonlinear structural equation modeling (SEM) methodology to separate the effects of diversity on productivity from the effects of productivity on diversity. Meta‐analysis was used to summarize the SEM findings across studies. While competitive effects were readily detected, enhancement of production by diversity was not. These results suggest that the influence of small‐scale diversity on productivity in mature natural systems is a weak force, both in absolute terms and relative to the effects of other controls on productivity.",
grant.3093937,837531,"Research on Coupled Human and Natural Systems (CHANS): Approach, Challenges and Strategies",2011,McConnell et al. ,Bulletin of the Ecological Society of America,1,1,1,138,19-Mar-20,"A symposium on Complexity in Human–Nature Interactions across Landscapes held at the 2009 meeting of the U.S. Regional Association of the International Association for Landscape Ecology in Snowbird, Utah.",
grant.3093938,837531,"Space, Place, and Hunting Patterns among Amerindians of the Guyanese Amazon",2010,Read et al. ,Journal of Latin American Geography,3,2,1,67,20-Mar-20,"Hunting remains an important subsistence activity for many indigenous peoples of the Neotropics. This paper describes indigenous hunting patterns using a mixed-methods approach in southern Guyana from a space and place perspective that takes into account both biophysical and cultural/spiritual factors. Findings confirm those of others, that distance from community, mediated by characteristics of the biophysical environment, impacts where hunters go. Mapping of the spiritual landscape, however, demonstrates that sense of place is also important. This paper argues that researchers and managers should be careful to incorporate both the local environmental and cultural/spiritual contexts in studies that inform biodiversity and sustainable resource-use management.",
grant.3093939,837531,"Shamanism, Christianity and Culture Change in the Amazon",2011,Luzar and Fragoso,Human Ecology,3,3,2,15,20-Mar-20,"Among many indigenous peoples of Amazonia, shamanism and Christianity co-exist as central cultural elements shaping the ways in which people interpret and interact with the world. Despite centuries of co-existence, the relationship between shamanism and Christianity has entered an especially dynamic era as many of Amazonia’s indigenous peoples abandon Catholicism for Evangelical and Sabbatarian churches. Testing the relationship between Christian church affiliation and shamanism in 23 Makushi and Wapishana communities in southern Guyana, we found that Evangelicals and Sabbatarians are less likely to visit shamans or accept their legitimacy than are Anglicans and Catholics. However, conversion does not necessarily imply a complete rejection of indigenous religious systems as many self-identified Evangelicals and Sabbatarians continue to adhere to some indigenous beliefs and practices. We conclude by positing possible implications of religious conversion for natural resource use on indigenous lands",
grant.3093940,837531,Large-scale Environmental Monitoring by Indigenous Peoples,2011,Luzar et al,BioScience,1,1,1,74,20-Mar-20,"Changes in vertebrate populations in tropical ecosystems are often understood to occur at large spatial and temporal scales. Understanding these dynamics and developing management responses when they are affected by hunting and land-use change require research and monitoring at large spatial scales. Data collection at such scales can be accomplished only through the participation of locally resident nonscientists. To assess the feasibility of rigorous, scientifically valid data collection under such conditions, we describe the design and management of a three-year study of the relationships among socioeconomic factors, hunting behavior, and wildlife population dynamics in a 48,000-square-kilometer, predominantly indigenous region of Amazonia. All of the data in the study were collected by locally recruited and trained indigenous technicians. We describe data collection and verification systems adapted to the culturally influenced data-collection practices of these technicians and propose protocols and improvements on our methodology to guide future large-scale research-and-monitoring projects.",
grant.3057646,508094,No publications listed in NSF award search,,,,,,,,,,
grant.3029260,216588,The last enclosure: Resisting privatization of wildlife in the western United States,2005,Robbins and Luginbuhl,"Capitalism, Nature, Socialism ",1,1,2,90,20-Mar-20,"This study examines the efforts to privatize public wildlife in the U.S., pointing to both institutional and physical efforts at enclosure. Reviewing these efforts in the context of the changing political economy of the rural U.S. West, and with specific reference to the elk economy in the state of Montana, the study shows the way in which nature and labor resist efforts at enclosure. The combination of a rising incidence of Chronic Wasting Disease (CWD) and an increasingly well-organized anti-privatization movement points to general contradictions in capitalism's encounter with nature. A complex confluence of eco-managerial bureaucratic interests, gun populism, and virulent infection has created a barrier that is highly resistant to efforts to privatize wildlife.",
grant.3029261,216588,Landscape Models and Explanation in Landscape Ecology-A Space for Generative Landscape Science?,2006,Brown et al. ,The Professional Geographer,3,3,2,63,20-Mar-20,"Further development of process-based spatial models is needed to facilitate explanation in landscape ecology.We discuss the dual modeling goals of prediction and explanation and identify challenges faced in explaining landscape patterns. These challenges are especially acute in attempts to explain patterns that result from complex adaptive systems.We compare examples of two process models used to describe landscape changes in Yellowstone National Park as a consequence of predator-prey interactions. Generative landscape science is offered as a complementary approach to explanation, combining models of candidate processes that are believed to give rise to observed patterns with empirical observations.",
grant.3029262,216588,"Modeling Yellowstone's northern range elk herd as adaptive, spatially aware, and mobile agents",2006,Bennett and Tang,International Journal of Geographical Information Science,3,3,3,65,20-Mar-20,"The potential utility of agent‐based models of adaptive, spatially aware, and mobile entities in geographic and ecological research is considerable. Developing this potential, however, presents significant challenges to geographic information science. Modelling the spatio‐temporal behaviour of individuals requires new representational forms that capture how organisms store and use spatial information. New procedures must be developed that simulate how individuals produce bounded knowledge of geographical space through experiential learning, adapt this knowledge to continually changing environments, and apply it to spatial decision‐making processes. In this paper, we present a framework for the representation of adaptive, spatially aware, and mobile agents. To provide context to this research, a multiagent model is constructed to simulate the migratory behaviour of elk (Cervus elaphus) on Yellowstone's northern range. In this simulated environment, intelligent agents learn in ways that enable them to mimic real‐world behaviours and adapt to changing landscapes",
grant.3029263,216588,Elk alter habitat selection as an antipredator response to wolves,2005,Creel et al. ,Ecology,3,2,2,660,20-Mar-20,"For elk (Cervus elaphus) in the Gallatin drainage of the Greater Yellowstone Ecosystem, Montana, USA, wolf movements caused local predation risk to vary substantially on a time scale of days. Spatially and temporally fine‐scaled data from GPS radio collars show that elk moved into the protective cover of wooded areas when wolves were present, reducing their use of preferred grassland foraging habitats that had high predation risk. By constraining habitat selection, wolves may have greater effects on elk dynamics than would be predicted on the basis of direct predation alone. Based on changes in the woody vegetation following the reintroduction of wolves, it has been suggested that antipredator responses by elk may be driving a trophic cascade in the Yellowstone ecosystem. However, studies to date have been hampered by a lack of direct data on spatial variation in predation risk, and the ways in which elk respond to variation in risk. Our data support a central portion of the hypothesis that elk antipredator behavior could drive a trophic cascade, but changes in elk numbers are also likely to have affected elk–plant interactions.",
grant.3029264,216588,The politics of barstool biology: Environmental knowledge and power in greater Northern Yellowstone,2006,Robbins  ,Geoforum,1,2,2,194,20-Mar-20,"Critical researchers of underdevelopment have established a well-known record celebrating the environmental knowledges of subsistence communities in contested wildlife conservation zones. Similar battles are being fought over science, uncertainty, and wild animals in the American west, however, with far less attention to local epistemologies. Often dismissed as “barstool biology”, the ecological knowledges of local hunters in the Northern Yellowstone ecosystem are rooted in environmental experience and situated politics. How does local hunter knowledge diverge or converge with that of state officials, environmentalists, ranchers, and other constituencies, and to what effect on wildlife management policy? This paper seeks to answer that question, reviewing recent research amongst local resource users, managers, and activists in Montana. By rendering empirical the question of local knowledge around America’s oldest national park, rather than trying to “read it off” political affiliation, education, or livelihood, a clearer picture of power, knowledge, and conservation emerges. The results suggest that emerging management policies have developed from the discursive alliance of landowners, outfitters, and environmentalists, shifting priorities towards enclosure and exclusion in wildlife at the expense of other silent constituencies.",
grant.3029265,216588,Even conservation rules are made to be broken: Implications for biodiversity,2006,Robbins et al. ,Environmental Management,2,2,2,129,20-Mar-20,"Despite efforts to enclose and control conservation zones around the world, direct human impacts in conservation areas continue, often resulting from clandestine violations of conservation rules through outright poaching, strategic agricultural encroachment, or noncompliance. Nevertheless, next to nothing is actually known about the spatially and temporally explicit patterns of anthropogenic disturbance resulting from such noncompliance. This article reviews current understandings of ecological disturbance and conservation noncompliance, concluding that differing forms of noncompliance hold differing implications for diversity. The authors suggest that forms of anthropogenic patchy disturbance resulting from violation may maintain, if not enhance, floral diversity. They therefore argue for extended empirical investigation of such activities and call for conservation biologists to work with social scientists to assess this conservation reality by analyzing how and when incomplete enforcement and rule-breaking drive ecological change",
grant.3029266,216588,"Out of administrative control: Absentee owners, resident elk and the shifting nature of wildlife management in southwestern Montana",2006,Haggerty and Travis,Geoforum,1,1,1,109,20-Mar-20,"This paper describes the historical roots of an ongoing wildlife management dilemma involving decreasing opportunities for elk management via public hunting on private land in the context of an expanding elk presence on private land in southwest Montana. Our main focus is on the role of private ranchland in elk ecology, and the ability of land owners to set elk migration in new directions through cumulative decisions about hunting and tolerating elk. This takes elk management, traditionally the purview of the state, out of administrative control. We document connections between the region’s historical and emerging land tenure patterns, and analyze associated changes in hunter access. Elk numbers expanded rapidly in the Upper Yellowstone Valley at a moment of significant transition in ranchland tenure. New owners more interested in natural amenities than in livestock production encouraged the elk and discouraged hunting. This reinforced the spread of elk, and further weakened the ability of the state and other ranchers to manage elk (which interfere with livestock production in numerous ways). Though elk and cattle use the landscape in similar ways, elk became more effective agents of landscape change in a reflexive relationship with ideas of land that stress natural amenities over production.",
grant.2990530,119976,No publications listed in NSF award search,,,,,,,,,,
grant.3057630,507987,Reducing model complexity for explanation and prediction,2007,Murray,Geomorphology,3,3,3,134,26-Mar-20,"Numerical models can be useful for explaining poorly understood phenomena or for reliable quantitative predictions. When modeling a multi-scale system, a ‘top-down’ approach—basing models on emergent variables and interactions, rather than explicitly on the much faster and smaller scale processes that give rise to them—facilitates both goals. Parameterizations representing emergent interactions range from highly simplified and abstracted to more quantitatively accurate. Empirically based large-scale parameterizations lead more reliably to accurate large-scale behavior than do parameterizations of much smaller scale processes. Conversely, purposefully simplified representations of model interactions can enhance a model's utility for explanation, clarifying the key feedbacks leading to an enigmatic behavior. For such potential insights to be relevant, the interactions in the model need to correspond to those in the ‘real’ system in some straightforward way. Such a correspondence usually holds for models constructed for predictive purposes, although this is not a requirement. The goals motivating a modeling endeavor help determine the most appropriate modeling strategies, as well as the most appropriate criteria for judging model usefulness.",
grant.3057631,507987,Patterns in the sand: From forcing templates to self organization,2007,Coco and Murray,Geomorphology,3,3,3,111,26-Mar-20,"The nearshore region exhibits many striking morphological patterns with a variety of spatial and temporal scales. The formation of these rhythmic features has been initially ascribed, depending on the pattern in question, to spatial structures in the flow or geological constrains. These forcing templates have been hypothesized to provide the spatial structure that becomes imprinted on the shoreline or seabed morphology. More recently, new explanations for rhythmic patterns have involved interactions between fluid flow and sediment transport that create morphological feedbacks and lead to pattern self-organization. While forcing-template models do not explicitly treat transport of the sediment that makes up the pattern, self-organization models focus on the strong couplings within flow/sediment systems, and on interactions between emergent structures. We illustrate the sweeping shift from template explanations to self-organization by discussing four nearshore patterns: beach cusps, surfzone crescentic sandbars, inner-shelf sorted bedforms, and large-scale cuspate shorelines. Models involving self-organization show that local interactions between flow and sediment transport can collectively give rise to patterns with large-scale coherence and that the driving feedbacks can be associated with either topographical or grain-size composition instabilities. An approach based on self-organization also allows researchers to establish limitations in the predictability of the occurrence of rhythmic patterns and characteristics as well as to study mechanisms leading to the observed variability of pattern or lack of regularity.",
grant.3057632,507987,Coastline responses to changing storm patterns,2006,Slott et al. ,Geophysical Research Letters,3,3,3,82,26-Mar-20,"Researchers and coastal managers are pondering how accelerated sea‐level rise and possibly intensified storms will affect shorelines. These issues are most often investigated in a cross‐shore profile framework, fostering the implicit assumption that coastline responses will be approximately uniform in the alongshore direction. However, experiments with a recently developed numerical model of coastline change on a large spatial domain suggest that the shoreline responses to climate change could be highly variable. As storm and wave climates change, large‐scale coastline shapes are likely to shift—causing areas of greatly accelerated coastal erosion to alternate with areas of considerable shoreline accretion. On complex‐shaped coastlines, including cuspate‐cape and spit coastlines, the alongshore variation in shoreline retreat rates could be an order of magnitude higher than the baseline retreat rate expected from sea‐level rise alone.",
grant.3057633,507987,Beach Nourishment as a Dynamic Capital Accumulation Problem,2009,Smith et al. ,Journal of Environmental Economics and Management,1,1,1,55,26-Mar-20,"Beach nourishment is a common coastal management strategy used to combat erosion along sandy coastlines. It involves building out a beach with sand dredged from another location. This paper develops a positive model of beach nourishment and generates testable hypotheses about how the frequency of nourishment responds to property values, project costs, erosion rates, and discounting. By treating the decision to nourish as a dynamic capital accumulation problem, the model produces new insights about coupled economic geomorphological systems. In particular, determining whether the frequency of nourishment increases in response to physical and economic forces depends on whether the decay rate of nourishment sand exceeds the discount rate.",
grant.3057634,507987,Synergies Between Adjacent Beach-Nourishing Communities in a Morpho-economic Coupled Coastline Model,2008,Slott et al. ,Journal of Coastal Management,1,1,1,18,26-Mar-20,"Beach “nourishment” consists of placing sand on an eroding beach. The widened beach provides increased storm protection to adjacent structures and improved recreational benefits, but is most often transient, requiring on-going, repeated nourishment episodes. Numerical models of beach nourishment typically address such questions as how long a widened beach will last; economic models compare the benefits and costs of preserving a stretch of beach without regard to its geomorphic evolution. Neither have addressed the physical nor economic interactions between adjacent nourishing communities. Here, we couple a numerical model of coastline evolution and a cost-benefit model of beach nourishment, allowing adjacent communities to make dynamic nourishment decisions. Beach nourishment benefits adjacent communities both “updrift” and “downdrift.” The total amount of money spent on nourishment activities can decrease by as much as 25% when adjacent communities both conduct on-going nourishment projects, as opposed to the case where each community nourishes in isolation.",
grant.3057635,507987,"Long-term, large-scale morphodynamic effects of artificial dune construction along a barrier island coastline",2010,Magliocca et al. ,Journal of Coastal Research ,1,1,1,28,26-Mar-20,"Interactions between human manipulations and landscape processes can form a dynamically coupled system because landscape-forming processes affect humans, and humans increasingly manipulate landscape-forming processes. Despite the dynamic nature of sandy barrier islands, economic incentive and recreational opportunities attract humans and development. Storm-driven sediment-transport events that build barrier islands constitute hazards to humans and infrastructure, and manipulations aimed at preventing or mitigating such events link human actions and long-term island morphodynamics. To explore how the behavior of a natural barrier island differs from one in which humans are dynamic system constituents, we use a numerical model of storm-driven sediment redistributions within the shoreface/island/back-barrier system and human rearrangements of sediment within the subaerial barrier island. In a modeled natural system, periods of dune growth and island stability, initiated by stochastic lulls in storm activity, alternate with stormy periods, in which shoreline erosion and frequent overwash regulate dune heights. When humans are included in the model, overwash deposits are removed from the island, and artificially high dunes are rebuilt. These manipulations tend to filter moderate overwash events. However, with shoreline erosion and rising sea level, these manipulations promote lower and narrower islands in the long term, so that when dunes are overtopped, the sediment redistributions are more severe. Thus, the coupled human/barrier system exhibits wider swings between increased island stability and sudden island displacements. Increasing the height of artificially maintained dunes increases the rate of island narrowing and, therefore, infrastructure relocation, and increases the need for sediment to be imported from outside the system.",
grant.3057637,507987,The Value of Disappearing Beaches: A Hedonic Pricing Model with Endogenous Beach Width,2010,Gopalakrishnan et al. ,Journal of Environmental Economics and Management,1,1,1,176,26-Mar-20,"Beach nourishment is a policy used to rebuild eroding beaches with sand dredged from other locations. Previous studies indicate that beach width positively affects coastal property values, but these studies ignore the dynamic features of beaches and the feedback that nourishment has on shoreline retreat. We correct for the resulting attenuation and endogeneity bias in a hedonic property value model by instrumenting for beach width using spatially varying coastal geological features. We find that the beach width coefficient is nearly five times larger than the OLS estimate, suggesting that beach width is a much larger portion of property value than previously thought. We use the empirical results to parameterize a dynamic optimization model of beach nourishment decisions and show that the predicted interval between nourishment projects is closer to what we observe in the data when we use the estimate from the instrumental variables model rather than OLS. As coastal communities adapt to climate change, we find that the long-term net value of coastal residential property can fall by as much as 52% when erosion rate triples and cost of nourishment sand quadruples.",
grant.3057639,507987,Large-scale responses of complex-shaped coastlines to local shoreline stabilization and climate change,2010,Slott et al. ,Journal of Geophyscial Research -Earth Surface,2,1,1,38,26-Mar-20,"When modeling the large‐scale (> km) evolution of coastline morphology, the influence of natural forces is not the only consideration; ongoing direct human manipulations can substantially drive geomorphic change. In this paper, we couple a human component to a numerical model of large‐scale coastline evolution, incorporating beach “nourishment” (periodically placing sand on the beach, also called “beach replenishment” or “beach fill”). Beach nourishment is the most prevalent means humans employ to alter the natural shoreline system in our case study, the Carolina coastline. Beach nourishment can cause shorelines adjacent to those that are nourished to shift both seaward and landward. When we further consider how changes to storm behaviors could change wave climates, the magnitude of morphological change induced by beach nourishment can rival that expected from sea level rise and affect the coast as far as tens of kilometers away from the nourishment site. In some instances, nonlocal processes governing large‐scale cuspate‐cape coastline evolution may transmit the human morphological “signal” over surprisingly large (hundreds of kilometer) distances.",
grant.3057640,507987,Coastal sustainability depends on how economic and coastline responses to climate change affect each other,2011,McNamara et al. ,Geophysical Research Letters,1,1,1,53,26-Mar-20,"Human-induced climate change is predicted to accelerate sea level rise and alter storm frequency along the US east coast. Rising sea level will enhance shoreline erosion, and recent work indicates changing storm patterns and associated changes in wave conditions can intensify coastal erosion along parts of a coastline. Investigations of coastal response to climate change typically consider natural processes in isolation neglecting repeated changes to the coastline from human actions, primarily through shoreline nourishment projects, which add sand to the shoreline to counteract erosion. In a model coupling economically driven shoreline nourishment with wave- and sea level rise-driven coastline change, and accounting for dwindling sediment resources for nourishment, coastline response depends dramatically on the relationship between patterns of property value and erosion. Simulations show that when nourishment costs rise with depletion of sand resources, coastline change is tied to the interaction between patterns of erosion and property value. Simulations show that when high property values align with highly erosive locations, sand resources are depleted rapidly and nourishment in lower property value towns is quickly abandoned. Although our model simulates a particular coastal morphology, the result that future behavior of the coastline and the economic viability of nourishment in a given town depend on the regional interaction between patterns of property value and erosion is likely applicable to many coastal configurations. More broadly, coupling economic and physical models reveals equity and sustainability implications of coastal climate adaptation as well as patterns of coastline change that a physical model alone would overlook.",
grant.3057641,507987,Emergent behavior in a coupled economic and coastline model for beach nourishment,2011,Lazarus et al. ,Nonlinear Processes in Geophysics,1,1,1,41,26-Mar-20,"Developed coastal areas often exhibit a strong systemic coupling between shoreline dynamics and economic dynamics. ""Beach nourishment"", a common erosion-control practice, involves mechanically depositing sediment from outside the local littoral system onto an actively eroding shoreline to alter shoreline morphology. Natural sediment-transport processes quickly rework the newly engineered beach, causing further changes to the shoreline that in turn affect subsequent beach-nourishment decisions. To the limited extent that this landscape/economic coupling has been considered, evidence suggests that towns tend to employ spatially myopic economic strategies under which individual towns make isolated decisions that do not account for their neighbors. What happens when an optimization strategy that explicitly ignores spatial interactions is incorporated into a physical model that is spatially dynamic? The long-term attractor that develops for the coupled system (the state and behavior to which the system evolves over time) is unclear. We link an economic model, in which town-manager agents choose economically optimal beach-nourishment intervals according to past observations of their immediate shoreline, to a simplified coastal-dynamics model that includes alongshore sediment transport and background erosion (e.g. from sea-level rise). Simulations suggest that feedbacks between these human and natural coastal processes can generate emergent behaviors. When alongshore sediment transport and spatially myopic nourishment decisions are coupled, increases in the rate of sea-level rise can destabilize economically optimal nourishment practices into a regime characterized by the emergence of chaotic shoreline evolution.",
grant.3048169,410315,Globalization of the Amazon beef and soy industries: opportunities for conservation,2006,Nepstad et al. ,Conservation Biology,1,,,581,,,More than 10 citations - randomly selected 10
grant.3048169,410315,Population and land-use effects on malaria prevalence in the Southern Brazilian Amazon,2006,Barbieri et al. ,Human Ecology,1,,,62,,,More than 10 citations - randomly selected 10
grant.3048169,410315,A demographic dynamics system for municipalities in the Brazilian Amazon,2006,Garcia and Soares-Filho,"Annual Meetings of the Population Association of America, Los Angeles",3,,,cant find,,,More than 10 citations - randomly selected 10
grant.3048169,410315,Tropical forests and climate policy,2007,Gullison et al. ,Science,1,,,592,,,More than 10 citations - randomly selected 10
grant.3048169,410315,Industrial development on logging frontiers in the Brazilian Amazon,2006,Merry et al. ,International Journal of Sustainable Development,1,,,20,,,More than 10 citations - randomly selected 10
grant.3048169,410315,Climate change and the forest,2007,Nepstad  ,American Prospect,2,,,4,,,More than 10 citations - randomly selected 10
grant.3048169,410315,"An interdisciplinary model of soybean yield in the Amazon Basin: the climatic, edaphic, and economic determinants",2008,Diaz et al. ,Ecological Economics,2,,,102,,,More than 10 citations - randomly selected 10
grant.3048169,410315,"Interactions among Amazon land use, forests and climate: prospects for a near-term forest tipping point",2008,Nepstad et al. ,Phil. Trans. Royal Society,1,,,604,,,More than 10 citations - randomly selected 10
grant.3048169,410315,Smallholder timber sale decisions on the Amazon frontier,2009,Amacher et al. ,Ecological Economics,2,,,30,,,More than 10 citations - randomly selected 10
grant.3048169,410315,The potential ecological co-benefits of REDD: a critical review and case study,2009,Stickler et al. ,Global Change Biology,1,,,203,,,More than 10 citations - randomly selected 10
grant.3020833,120022,Only books and one-time proceedings....,,,,,,,,,,
grant.3028973,215890,Household-level determinants of adoption of improved natural resources management practices among smallholder farmers in western Kenya,2007,Mareyna and Barrett,Food Policy,1,,,393,,,More than 10 citations - randomly selected 10
grant.3028973,215890,Livelihood strategies in the rural Kenyan Highlands,2006,Brown et al. ,African Journal of Agricultural and Resource Economics,2,,,163,,,More than 10 citations - randomly selected 10
grant.3028973,215890,Organic matter stabilization in soil microaggregates: implications from spatial heterogeneity of organic carbon contents and carbon forms,2007,Lehmann et al. ,Biogeochemistry,3,,,252,,,More than 10 citations - randomly selected 10
grant.3028973,215890,Long-term impacts of anthropogenic perturbations on the dynamics and molecular speciation of organic carbon in tropical forest and subtropical grassland ecosystems,2007,Soloman et al. ,Global Change Biology,1,,,173,,,More than 10 citations - randomly selected 10
grant.3028973,215890,Coupled natural and human systems,2007,Liu et al. ,Ambio,1,,,779,,,More than 10 citations - randomly selected 10
grant.3028973,215890,Nutrient constraints to tropical agroecosystem productivity in long-term degrading soils,2008,Ngoze et al. ,Global Change Biology,2,,,40,,,More than 10 citations - randomly selected 10
grant.3028973,215890,Spatial complexity of soil organic matter forms at nanometre scales,2008,Lehmann et al. ,Nature Geoscience,3,,,283,,,More than 10 citations - randomly selected 10
grant.3028973,215890,In vitro fermentation of intact and fractionated tropical herbaceous and tree legumes containing tannins and alkaloids,2008,Mbugua et al. ,Animal Feed Science and Technology,3,,,26,,,More than 10 citations - randomly selected 10
grant.3028973,215890,Long-term black carbon dynamics in cultivated soil,2008,Nguyen et al. ,Biogeochemistry,2,,,335,,,More than 10 citations - randomly selected 10
grant.3028973,215890,Welfare dynamics in rural Kenya and Madagascar,2006,Barrett et al. ,Journal of Development Studies,3,,,370,,,More than 10 citations - randomly selected 10
grant.3029281,216637,No publications listed in NSF award search,,,,,,,,,,
grant.3020818,119938,No publications listed in NSF award search,,,,,,,,,,
grant.2992741,410336,Impact of Noise in Bistable Ecological Systems,2007,Guttal and Jayaprakash,Ecological Modelling,1,,,94,,,More than 10 citations - randomly selected 10
grant.2992741,410336,Optimal Land Development with Endogenous Environmental Amenities,2008,Wu and Irwin,American Journal Agricultural Economics,1,,,32,,,More than 10 citations - randomly selected 10
grant.2992741,410336,Vertical mixing and weak stratification overe zebra mussel colonies in western Lake Erie,2008,Boegman et al. ,Limnology and Oceanography,2,,,84,,,More than 10 citations - randomly selected 10
grant.2992741,410336,Self-Organization and productivity in semi-arid ecosystems: Implications of seasonality in rainfall,2007,Guttal and Jayaprakash,Journal of Theoretical Biology,3,,,66,,,More than 10 citations - randomly selected 10
grant.2992741,410336,Measuring the amount and pattern of land development in non-urban areas,2007,Irwin et al. ,Review of Agricultural Economics,2,,,25,,,More than 10 citations - randomly selected 10
grant.2992741,410336,Comparison of empirical methods for building agent-based models in land use science,2007,Robinson et al. ,Journal of Land Use Science,1,,,255,,,More than 10 citations - randomly selected 10
grant.2992741,410336,A two-dimensional ecological model of Lake Erie: Application to estimate dreissenid impacts on large lake plankton populations,2008,Zhang et al. ,Ecological Modelling,2,,,86,,,More than 10 citations - randomly selected 10
grant.2992741,410336,Gloom and blooms: simulating phytoplankton growth moving out of a tributary into a large lake,2008,Conroy et al. ,Verhandlungen der Internationale Vereiningung fÃ?Â¼r Theoretische und Angewandte Limnologie,3,,,4,,,More than 10 citations - randomly selected 10
grant.2992741,410336,Spatial variance and spatial skewness: Leading indicators of regime shifts in spatial ecological systems,2009,Guttal and Jayaprakash,Theoretical Ecology,3,,,183,,,More than 10 citations - randomly selected 10
grant.2992741,410336,Spatial characteristics of exurban settlement pattern in the U.S,2009,Clark et al. ,Landscape and Urban Planning,3,,,127,,,More than 10 citations - randomly selected 10
grant.3048188,410439,The ENSO signature in sea-surface temperature in the Gulf of California,2007,Herrera-Cervantes et al. ,Journal of Marine Research,3,,,15,,,More than 10 citations - randomly selected 10
grant.3048188,410439,"Evaluación rural participativa: uso de los recursos naturales en la reserva de la biosfera El Vizcaíno, BCS, México",2008,Lagunas et al. ,Revista EconomÃ­a Sociedad y Territorio,1,,,9,,,More than 10 citations - randomly selected 10
grant.3048188,410439,Changes in marine faunal distributions and ENSO events in the California Current.,2005,Lluch-Belda et al. ,Fisheries Oceanography,3,,,55,,,More than 10 citations - randomly selected 10
grant.3048188,410439,The Gulf of California: Ecosystem view and environmental trends,2007,Lluch-Belda et al. ,Progress in Oceanography,3,,,cant find,,,More than 10 citations - randomly selected 10
grant.3048188,410439,Explaining Catch Variation in Baja California Lobster Fishermen through Spatial Analysis of Trap Placement Decisions,2010,Shester,BULLETIN OF MARINE SCIENCE,2,,,9,,,More than 10 citations - randomly selected 10
grant.3048188,410439,Frequent monitoring of temperature: an essential requirement for site selection in bivalve aquaculture in tropical-temperate transition zones.,2006,Sicard et al. ,Aquaculture Research,3,,,42,,,More than 10 citations - randomly selected 10
grant.3048188,410439,Global multidecadal climate and small pelagic fish population,2007,Tourre et al. ,Environmental Research Letters,3,,,43,,,More than 10 citations - randomly selected 10
grant.3048188,410439,The precursors of governance in Maine lobster fishery,2007,Wilson et al. ,PNAS,2,,,133,,,More than 10 citations - randomly selected 10
grant.3048188,410439,Self-Organizing Economic Activity with Costly Information,2009,Wilson and Yan,Genetic and Evolutionary Computation Conference,3,,,6,,,More than 10 citations - randomly selected 10
grant.3048188,410439,Marine protected areas in spatial property rights fisheries,2010,Costello and Kaffine,Australian Journal of Agricultural and Resource Economics,1,,,60,,,More than 10 citations - randomly selected 10
grant.3037329,308414,"Floods, Habitat Hydraulics and Upstream Migration of Neritina virginea (Gastropoda: Neritidae) in Northeastern Puerto Rico",2005,Blanco and Scatena,Caribbean Journal of Science,3,,,55,,,
grant.3037329,308414,"Hierarchical contribution of river-connectivity, water chemistry, hydraulics, and substrate to the distribution of diadromous snails in Puerto Rican Streams",2005,Blanco and Scatena,Journal of the North American Benthological Society,3,,,58,,,
grant.3037329,308414,"Effects of different types of conditioning on leaf- litter shredding by Xiphocaris elongata, a Neotropical freshwater shrimp",2006,Crowl et al. ,Journal of the North American Benthological Society,3,,,53,,,
grant.3037329,308414,The Spatial Arrangement of Neritina Virginea during upstream migration in a split-channel reach,2007,Blanco and Scatena,Research and Applications,3,,,27,,,
grant.3037329,308414,"Hierarchical contribution of river-connectivity, water chemistry, hydraulics, and substrate to the distribution of diadromous snails in Puerto Rican Streams",2006,Blanco and Scatena,Journal of North American Benthological Society,3,,,58,,,
